,title,detail,uid,link
65,"Chinese Art Online, including Song Ceramics from the Kai-Yin Lo Collection",19–26 August 2021 | 10:00 AM HKT | Hong Kong,0000017b-29c0-d0cf-abff-29f75a3d0000,https://www.sothebys.com/en/buy/auction/2021/chinese-art-online-including-song-ceramics-from-the-kai-yin-lo-collection
66,Contemporary Art | London,12–19 August 2021 | 2:00 PM BST | London,0000017a-afdc-d35c-a37e-effca7b50000,https://www.sothebys.com/en/buy/auction/2021/contemporary-art-online-2
67,Palm-Sized Treasures – Snuff Bottles from the Jimeng Shanfang Collection,10–17 August 2021 | 10:00 AM HKT | Hong Kong,0000017b-0a44-d0cf-abff-0bf7682b0000,https://www.sothebys.com/en/buy/auction/2021/palm-sized-treasures-snuff-bottles-from-the-jimeng-shanfang-collection
68,ArtCrush 2021: Art Auction to Benefit the Aspen Art Museum,26 July–6 August 2021 | 12:00 PM EDT | New York,0000017a-7d80-d35c-a37e-fde88eac0000,https://www.sothebys.com/en/buy/auction/2021/artcrush-2021-art-auction-to-benefit-the-aspen-art-museum-2
69,Eclectic | New York,26 July–4 August 2021 | 12:00 PM EDT | New York,0000017a-af98-d35c-a37e-eff888b10000,https://www.sothebys.com/en/buy/auction/2021/eclectic-new-york
70,Golden Splendour – Gold Jewellery from the Collection of Tuyet Nguyet and Stephen Markbreiter,21–28 July 2021 | 10:00 AM HKT | Hong Kong,00000179-ea7d-df38-a179-fbfda99f0000,https://www.sothebys.com/en/buy/auction/2021/golden-splendour-gold-jewellery-from-the-collection-of-tuyet-nguyet-and-stephen-markbreiter
71,Contemporary Realism: Important 21st Century Works | Hosted by Sotheby’s,16–26 July 2021 | 2:00 PM EDT | New York,0000017a-5d82-d35c-a37e-fdea641c0000,https://www.sothebys.com/en/buy/auction/2021/contemporary-realism-important-21st-century-works-hosted-by-sothebys
72,Contemporary Art Online | New York,14–21 July 2021 | 12:00 PM EDT | New York,00000179-eca4-df38-a179-fda45b120000,https://www.sothebys.com/en/buy/auction/2021/contemporary-art-online-new-york-3
73,Eclectic,7–14 July 2021 | 10:00 AM HKT | Hong Kong,0000017a-3ced-d35c-a37e-fdedbfd50000,https://www.sothebys.com/en/buy/auction/2021/eclectic
74,Contemporary Curated Milan,6–13 July 2021 | 4:00 PM CEST | Milan,00000179-c7e7-df38-a179-dfe73e410000,https://www.sothebys.com/en/buy/auction/2021/contemporary-curated-milan
75,The Marianne L. Dreesmann-van der Spek Collection,29 June–12 July 2021 | 4:00 PM CEST | Paris,00000179-b349-df38-a179-fbcdb00b0000,https://www.sothebys.com/en/buy/auction/2021/the-marianne-l-dreesmann-van-der-spek-collection
76,Contemporary Curated,29 June–8 July 2021 | 3:00 PM CEST | Paris,0000017a-1a69-dfec-a7fb-1aeda7990000,https://www.sothebys.com/en/buy/auction/2021/contemporary-curated-4
77,Treasures,6 July 2021 | 2:30 PM BST | London,00000179-88f3-d52b-a3fd-caf75d1b0000,https://www.sothebys.com/en/buy/auction/2021/treasures
78,Heir to the Throne: An NFT in Celebration of JAY-Z's Reasonable Doubt 25th Anniversary by Derrick Adams,25 June–2 July 2021 | 10:00 AM EDT | New York,0000017a-4341-d35c-a37e-eb697ce80000,https://www.sothebys.com/en/buy/auction/2021/jay-z-x-derrick-adams-heir-to-the-throne-an-nft
79,"Chinese Art Online, including a Private Hong Kong Collection",25 June–2 July 2021 | 10:00 AM HKT | Hong Kong,0000017a-1928-dfec-a7fb-19adaaf80000,https://www.sothebys.com/en/buy/auction/2021/chinese-art-online-including-a-private-hong-kong-collection
80,Contemporary Art Day Auction,24 June–1 July 2021 | 2:00 PM BST | London,00000179-64cf-d9f4-a37b-feefcec30000,https://www.sothebys.com/en/buy/auction/2021/contemporary-art-day-auction-3
81,Sealed Cryptopunks: Five Punks on Paper,24 June–1 July 2021 | 1:00 PM BST | London,00000179-fb38-dc91-ab7b-ffff1ea00000,https://www.sothebys.com/en/buy/auction/2021/sealed-cryptopunks-five-punks-on-paper
82,Impressionist and Modern Art Day Sale,23–30 June 2021 | 12:00 PM BST | London,00000179-425a-dd94-a37f-dadae0e40000,https://www.sothebys.com/en/buy/auction/2021/impressionist-modern-art-day-sale-4
83,"Doha / Paris, un Décor Princier",30 June 2021 | 10:30 AM CEST | Paris,00000179-db1d-df38-a179-db9d9ff10000,https://www.sothebys.com/en/buy/auction/2021/doha-paris-un-decor-princier
84,Modern & Contemporary Art Evening Sale,29 June 2021 | 3:00 PM BST | London,00000179-564b-d9f4-a37b-deef290f0000,https://www.sothebys.com/en/buy/auction/2021/modern-contemporary-art-evening-sale
85,British Art Evening Sale: Modern/Contemporary,29 June 2021 | 2:00 PM BST | London,00000179-1ceb-dd94-a37f-9eebc1080000,https://www.sothebys.com/en/buy/auction/2021/british-art-modern-contemporary
86,The Hundred Antiques: Fine & Decorative Asian Art,11–22 June 2021 | 9:30 AM EDT | New York,00000179-c930-df38-a179-d9b4cde70000,https://www.sothebys.com/en/buy/auction/2021/the-hundred-antiques-fine-decorative-asian-art
87,Contemporary Curated: Asia | JAY CHOU x SOTHEBY’S | Day Sale,10–22 June 2021 | 11:00 AM HKT | Hong Kong,00000179-9c18-d52b-a3fd-defc41010000,https://www.sothebys.com/en/buy/auction/2021/contemporary-curated-asia-jay-chou-x-sothebys-day-sale
88,Contemporary Curated: Asia | JAY CHOU x SOTHEBY’S | Evening Sale,18 June 2021 | 7:30 PM HKT | Hong Kong,00000179-9c18-d52b-a3fd-defc215a0000,https://www.sothebys.com/en/buy/auction/2021/contemporary-curated-asia-jay-chou-x-sothebys-evening-sale
89,Impressionist & Modern Art,7–16 June 2021 | 12:00 PM EDT | New York,00000179-855a-d52b-a3fd-cffe20740000,https://www.sothebys.com/en/buy/auction/2021/impressionist-modern-art
90,The Swiss Fine Art Sale,8–15 June 2021 | 3:00 PM CEST | Zurich,00000178-3614-deac-a5ff-f677050a0000,https://www.sothebys.com/en/buy/auction/2021/the-swiss-fine-art-sale
91,Natively Digital: A Curated NFT Sale,3–10 June 2021 | 10:45 AM EDT | New York,00000179-7a7c-d9f4-a37b-fefee2470000,https://www.sothebys.com/en/buy/auction/2021/natively-digital-a-curated-nft-sale-2
92,Natively Digital: CryptoPunk 7523,10 June 2021 | 10:00 AM EDT | New York,00000179-b2fa-df38-a179-fbfefa930000,https://www.sothebys.com/en/buy/auction/2021/natively-digital-cryptopunk-7523
93,Arts d'Asie,10 June 2021 | 10:30 AM CEST | Paris,00000179-36c5-dd94-a37f-becd59eb0000,https://www.sothebys.com/en/buy/auction/2021/arts-dasie
94,Modern Art Online: From Zao Wou-Ki to Le Pho,1–8 June 2021 | 1:00 PM HKT | Hong Kong,00000179-a2be-df38-a179-fbbe3f690000,https://www.sothebys.com/en/buy/auction/2021/modern-art-online-from-zao-wou-ki-to-le-pho
95,Art Contemporain Day Sale,25 May–4 June 2021 | 3:00 PM CEST | Paris,00000179-41c9-dd94-a37f-dbc98d6e0000,https://www.sothebys.com/en/buy/auction/2021/art-contemporain-day-sale
96,Snuff Bottles from the Tuyet Nguyet and Stephen Markbreiter Collection Part I,28 May–4 June 2021 | 10:00 AM HKT | Hong Kong,00000178-fe42-dd94-a37f-feca34bb0000,https://www.sothebys.com/en/buy/auction/2021/snuffbottles-from-the-tuyet-nguyet-and-stephen-markbreiter-collection-part-i
97,Art Contemporain Evening Sale,3 June 2021 | 6:00 PM CEST | Paris,00000179-41c5-dd94-a37f-dbcd6c4c0000,https://www.sothebys.com/en/buy/auction/2021/art-contemporain-evening-sale
98,"Absolument Moderne, Collection Rambaud",3 June 2021 | 5:00 PM CEST | Paris,00000179-321a-dd94-a37f-ba9a49390000,https://www.sothebys.com/en/buy/auction/2021/absolument-moderne-collection-rambaud
99,The Artist’s Eye: The Collection of Tom Levine,20–27 May 2021 | 12:00 PM EDT | New York,00000178-eb9a-dd94-a37f-fb9a46600000,https://www.sothebys.com/en/buy/auction/2021/the-artists-eye-the-collection-of-tom-levine
100,Contemporary Art | Milan,20–27 May 2021 | 4:00 PM CEST | Milan,00000177-af92-d987-a77f-bfd3e1880000,https://www.sothebys.com/en/buy/auction/2021/contemporary-art-milan
101,(Women) Artists,20–27 May 2021 | 2:00 PM BST | London,00000178-da6f-d723-affe-dbefd60f0000,https://www.sothebys.com/en/buy/auction/2021/women-artists
102,Contemporary Art Online,19–26 May 2021 | 1:00 PM BST | London,00000178-fa57-dd94-a37f-fadfda990000,https://www.sothebys.com/en/buy/auction/2021/contemporary-art-online
103,CHINA / 5000 YEARS,26 May 2021 | 2:00 PM HKT | Hong Kong,00000178-fe40-dd94-a37f-fec838d20000,https://www.sothebys.com/en/digital-catalogues/china-5000-years-hk1111
104,A Connoisseur’s Eye: The Collection of Tuyet Nguyet And Stephen Markbreiter,26 May 2021 | 10:20 AM HKT | Hong Kong,00000178-fe3f-dd94-a37f-febfd8390000,https://www.sothebys.com/en/buy/auction/2021/a-connoisseurs-eye-the-collection-of-tuyet-nguyet-and-stephen-markbreiter
105,A Celebration of Enlightenment: Buddhist Metalwork From The Collection of Tuyet Nguyet And Stephen Markbreiter,26 May 2021 | 10:00 AM HKT | Hong Kong,00000178-fe3f-dd94-a37f-febf52c80000,https://www.sothebys.com/en/buy/auction/2021/a-celebration-of-enlightenment-buddhist-metalwork-from-the-collection-of-tuyet-nguyet-and-stephen-markbreiter
106,Chinese Export Porcelain,12–19 May 2021 | 2:00 PM BST | London,00000179-0ed0-dd94-a37f-9ed809dd0000,https://www.sothebys.com/en/buy/auction/2021/chinese-export-porcelain
107,"Furniture, Clocks & Works of Art",7–18 May 2021 | 3:00 PM BST | London,00000178-db05-d723-affe-dba529700000,https://www.sothebys.com/en/buy/auction/2021/furniture-clocks-works-of-art
108,Contemporary Showcase: Kawaii Pop,11–18 May 2021 | 11:00 AM HKT | Hong Kong,00000179-0dc8-dd94-a37f-9fc8de950000,https://www.sothebys.com/en/buy/auction/2021/contemporary-showcase-kawaii-pop
109,Impressionist & Modern Art Day Sale,30 April–14 May 2021 | 11:30 AM EDT | New York,00000178-89ed-d5d6-a7fe-bbfd45e50000,https://www.sothebys.com/en/buy/auction/2021/impressionist-modern-art-day-sale
110,Contemporary Art Day Auction,13 May 2021 | 10:00 AM EDT | New York,00000178-8df4-d47a-ab78-cdf59fce0000,https://www.sothebys.com/en/buy/auction/2021/contemporary-art-day-auction-2
111,Impressionist & Modern Art Evening Sale,12 May 2021 | 8:30 PM EDT | New York,00000178-cbc7-d47a-ab78-cbf7f2e60000,https://www.sothebys.com/en/buy/auction/2021/impressionist-modern-art-evening-sale
112,Contemporary Art Evening Auction,12 May 2021 | 7:00 PM EDT | New York,00000178-6afb-d5d6-a7fe-7afbf51f0000,https://www.sothebys.com/en/buy/auction/2021/contemporary-art-evening-auction
113,American Visionary: The Collection of Mrs. John L. Marion,12 May 2021 | 6:00 PM EDT | New York,00000178-282b-deac-a5ff-fe7b97a10000,https://www.sothebys.com/en/buy/auction/2021/american-visionary-the-collection-of-mrs-john-l-marion
114,Chinese Art | 中國藝術品,12 May 2021 | 10:30 AM BST | London,00000178-123f-deac-a5ff-d67f6af20000,https://www.sothebys.com/en/buy/auction/2021/important-chinese-art-3
115,"Daniel Cordier, Collection privée",28 April–5 May 2021 | 2:00 PM CEST | Paris,00000178-68b1-d5d6-a7fe-7af9ed2e0000,https://www.sothebys.com/en/buy/auction/2021/daniel-cordier-collection-privee
116,La Mystique de l'Indochine: Paris,19–28 April 2021 | 12:00 PM CEST | Paris,00000178-5fea-d5d6-a7fe-7ffbf0db0000,https://www.sothebys.com/en/buy/auction/2021/la-mystique-de-lindochine-paris
117,A Vision of Luxury: The Collection of Michelle Smith Online,16–27 April 2021 | 2:00 PM EDT | New York,00000178-4739-d031-ad7b-477b898e0000,https://www.sothebys.com/en/buy/auction/2021/a-vision-of-luxury-the-collection-of-michelle-smith-online
